panel,weighting,estimator,instruments_kept,max_lag,income,income_se,obs,countries,n_inst,ar1_p,ar2_p,overid_test,overid_df,overid_p
Polity,One-step,System GMM,collapsed,6,0.07302180128575622,0.021788226755500274,1331,120,20,2.4097670085297513e-4,0.25798519520945246,Sargan,10,1.8359998943739626e-17
Polity,One-step,Difference GMM,uncollapsed,7,-0.3210299782197268,0.10360691801338616,600,111,61,2.4968400883356546e-8,0.27797533300623256,Sargan,52,1.0931344297721777e-58
Polity,One-step,Difference GMM,collapsed,7,-0.4964515153691087,0.21700687812139402,600,111,19,1.7311160807173767e-11,0.2601258862786079,Sargan,10,9.846812441811271e-8
Polity,One-step,System GMM,uncollapsed,7,0.07200133332946514,0.019589295502460066,1331,120,76,3.4996752039684743e-4,0.2681734899424077,Sargan,66,2.883936619399283e-89
Polity,One-step,System GMM,collapsed,7,0.07574858728795192,0.02183163854721704,1331,120,22,2.365477223205647e-4,0.25740419433350614,Sargan,12,2.265939974949693e-19
Polity,One-step,Difference GMM,uncollapsed,8,-0.27321696779658566,0.0923018262039564,600,111,63,4.69642662471407e-8,0.2788501437294798,Sargan,54,1.224029569805093e-60
Polity,One-step,Difference GMM,collapsed,8,-0.5203496843702977,0.21014301790665477,600,111,21,3.166939535317222e-11,0.2592134001883381,Sargan,12,1.0471284798797558e-17
Polity,One-step,System GMM,uncollapsed,8,0.07194523782706244,0.019505609009249376,1331,120,78,2.744662914927434e-4,0.2675592390210662,Sargan,68,1.7363962413202393e-90
Polity,One-step,System GMM,collapsed,8,0.06704150609528395,0.021567771974021592,1331,120,24,2.1531187768600966e-4,0.2548465437685551,Sargan,14,1.5190081210892194e-30
Polity,Two-step,Difference GMM,uncollapsed,2,-0.3433925736359076,0.2375314369462214,600,111,21,1.9235123342530803e-4,0.30729174120115366,Hansen,12,0.007279937114155545
Polity,Two-step,Difference GMM,collapsed,2,-0.429270636653623,0.2021101691796999,600,111,9,2.565304604980283e-7,0.23297450212562537,Hansen,0,NA
Polity,Two-step,System GMM,uncollapsed,2,0.06024207729916772,0.027984434392771085,1331,120,36,0.006315628803688632,0.2901858676161996,Hansen,26,0.0015842356064104282
Polity,Two-step,System GMM,collapsed,2,0.05785431571321056,0.03053970274588635,1331,120,12,1.527116603689824e-132,0.16840386921631187,Hansen,2,0.0011455775380774572
Polity,Two-step,Difference GMM,uncollapsed,3,-0.35659047296792723,0.20437102556387662,600,111,33,1.8024072074191208e-4,0.30781252492123146,Hansen,24,0.04918384568695565
Polity,Two-step,Difference GMM,collapsed,3,-0.44853297482488896,0.2349377586971409,600,111,11,1.6253887069216577e-4,0.2774724570718398,Hansen,2,0.4208328468100234
Polity,Two-step,System GMM,uncollapsed,3,0.052907300770596216,0.022963496448432333,1331,120,48,0.0072711805855792564,0.29722981695638695,Hansen,38,0.005052769694961652
Polity,Two-step,System GMM,collapsed,3,0.0494180620578315,0.022497085399507056,1331,120,14,0.0011092148771317991,0.26306187015115606,Hansen,4,0.0018322287140492596
Polity,Two-step,Difference GMM,uncollapsed,4,-0.3361887680148179,0.1501275957215541,600,111,43,1.4405608843703676e-4,0.30067682385111055,Hansen,34,0.11835479953455341
Polity,Two-step,Difference GMM,collapsed,4,-0.48004912762239504,0.21093191200488287,600,111,13,1.6395132581829649e-4,0.28489695783741487,Hansen,4,0.5069617168209463
Polity,Two-step,System GMM,uncollapsed,4,0.06384961281831719,0.0232787036202951,1331,120,58,0.015659567788096383,0.3256901664732436,Hansen,48,0.009965658206076752
Polity,Two-step,System GMM,collapsed,4,0.0547349433474934,0.022673479926162855,1331,120,16,8.730704708163002e-4,0.2628634631399159,Hansen,6,0.00503469538798365
Polity,Two-step,Difference GMM,uncollapsed,5,-0.27115496292012375,0.12855994589331698,600,111,51,3.442333101957798e-4,0.31155531827246113,Hansen,42,0.18066551385788188
Polity,Two-step,Difference GMM,collapsed,5,-0.47808364023542893,0.20922645998434927,600,111,15,1.6331449594688137e-4,0.28293253959900844,Hansen,6,0.5926993390749186
Polity,Two-step,System GMM,uncollapsed,5,0.06507118803937458,0.021559912457301603,1331,120,66,0.032404942933452585,0.3499790257440099,Hansen,56,0.020526717810426424
Polity,Two-step,System GMM,collapsed,5,0.06124089288186396,0.02380734351991432,1331,120,18,9.1267911848062e-4,0.26315770474958083,Hansen,8,0.0026658356532067292
Polity,Two-step,Difference GMM,uncollapsed,6,-0.25285651141616716,0.10730382912611247,600,111,57,4.184640617095033e-4,0.31213395694407964,Hansen,48,0.1523080573741916
Polity,Two-step,Difference GMM,collapsed,6,-0.4644472092295402,0.20998928766647396,600,111,17,1.9248270907687903e-4,0.27731361206996785,Hansen,8,0.23718734871778127
Polity,Two-step,System GMM,uncollapsed,6,0.06622073005171204,0.020298489097629237,1331,120,72,0.012867469092180707,0.3133073321042924,Hansen,62,0.03715970480932612
Polity,Two-step,System GMM,collapsed,6,0.056750459607866954,0.023818522363844387,1331,120,20,0.0012930788058541458,0.2611994778085194,Hansen,10,0.0033053171727899125
Polity,Two-step,Difference GMM,uncollapsed,7,-0.27345864235099193,0.09619887319769749,600,111,61,3.281971405647971e-4,0.31639209795341827,Hansen,52,0.17747661539192167
Polity,Two-step,Difference GMM,collapsed,7,-0.47869318941345895,0.20444842015749365,600,111,19,1.8791890056960925e-4,0.27794521961835617,Hansen,10,0.14518916506696888
Polity,Two-step,System GMM,uncollapsed,7,0.06925009645666225,0.022675116925976783,1331,120,76,0.003068015898394363,0.28219657958439154,Hansen,66,0.0403278484513719
Polity,Two-step,System GMM,collapsed,7,0.05712543959129035,0.025188406355611582,1331,120,22,0.0013420829844828514,0.2648096618334355,Hansen,12,0.002016570892059027
Polity,Two-step,Difference GMM,uncollapsed,8,-0.24895565411815734,0.09776646584333513,600,111,63,3.549055894380779e-4,0.31636697111201784,Hansen,54,0.12543128840760348
Polity,Two-step,Difference GMM,collapsed,8,-0.45673697687625414,0.19245216357574083,600,111,21,2.1508094888472956e-4,0.29860567497248475,Hansen,12,0.105287870870612
Polity,Two-step,System GMM,uncollapsed,8,0.06924359350329107,0.022778345731105258,1331,120,78,0.004234143812265732,0.2896367312060699,Hansen,68,0.047253469986668004
Polity,Two-step,System GMM,collapsed,8,0.04952820403312019,0.025038728236031784,1331,120,24,9.494890878256708e-4,0.26281262774190334,Hansen,14,0.002692370249420408
