panel,design,scheme,scheme_label,lag_max,income,income_se,dem,n_inst,obs,countries
Polity,Paper's design (lags of democracy only),full,One instrument in total,3,-0.41228237780588195,0.1633659989396937,0.5838322215187501,11,747,114
Polity,Paper's design (lags of democracy only),full,One instrument in total,4,-0.41142178162621423,0.16208195022595578,0.5897153403375408,11,747,114
Polity,Paper's design (lags of democracy only),full,One instrument in total,5,-0.4103252400872224,0.16306078414870004,0.5972114044787911,11,747,114
Polity,Paper's design (lags of democracy only),full,One instrument in total,6,-0.4062162226991832,0.16384222721201386,0.6253010452318786,11,747,114
Polity,Paper's design (lags of democracy only),full,One instrument in total,7,-0.4092330113081015,0.16388403164863227,0.6046779861764429,11,747,114
Polity,Paper's design (lags of democracy only),full,One instrument in total,8,-0.4028196853756931,0.16504657670905132,0.6485201032719146,11,747,114
Polity,Paper's design (lags of democracy only),full,One instrument in total,Inf,-0.4080622693101361,0.16432027145462902,0.6126812918415285,11,747,114
Polity,Symmetric (lags of democracy and income),none,One per lag and period (uncollapsed),2,-0.591201227611057,0.19177149907850344,0.5261383835621718,27,747,114
Polity,Symmetric (lags of democracy and income),none,One per lag and period (uncollapsed),3,-0.583753419634756,0.16484355264113829,0.5023175239031012,43,747,114
Polity,Symmetric (lags of democracy and income),none,One per lag and period (uncollapsed),4,-0.46351681639625575,0.14842240282466151,0.5005738256581899,57,747,114
Polity,Symmetric (lags of democracy and income),none,One per lag and period (uncollapsed),5,-0.4389117636000033,0.13440567873884388,0.4997824269919086,69,747,114
Polity,Symmetric (lags of democracy and income),none,One per lag and period (uncollapsed),6,-0.36010490749702484,0.109716776442965,0.49680327402300284,79,747,114
Polity,Symmetric (lags of democracy and income),none,One per lag and period (uncollapsed),7,-0.3043803910719447,0.10525718868763072,0.5111378752167182,87,747,114
Polity,Symmetric (lags of democracy and income),none,One per lag and period (uncollapsed),8,-0.25895324452843527,0.10541784080316542,0.5191211194633666,93,747,114
Polity,Symmetric (lags of democracy and income),none,One per lag and period (uncollapsed),Inf,-0.22492792561803032,0.09599194167686433,0.5225470253380617,99,747,114
Polity,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),2,-0.4125813125636508,0.16106813663768813,0.5817886745678011,11,747,114
Polity,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),3,-0.3860352075901474,0.15358964545632045,0.5651920597650353,13,747,114
Polity,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),4,-0.3904781634895578,0.15342099591413652,0.5562441097945285,15,747,114
Polity,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),5,-0.40260081025904526,0.15972709215560565,0.5532505955953959,17,747,114
Polity,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),6,-0.41644524508993985,0.1607721236857294,0.5485819577593289,19,747,114
Polity,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),7,-0.4381393946648684,0.16045850375043472,0.5425667110527352,21,747,114
Polity,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),8,-0.4399217671074034,0.16176559255665957,0.5351800803012667,23,747,114
Polity,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),Inf,-0.5215060379687877,0.16831517112309766,0.5090346526593206,27,747,114
Polity,Symmetric (lags of democracy and income),period,"One per period, summed",2,-0.591201227611057,0.19177149907850344,0.5261383835621718,27,747,114
Polity,Symmetric (lags of democracy and income),period,"One per period, summed",3,-0.9694180572217395,0.2895917006285966,0.350075130296263,27,747,114
Polity,Symmetric (lags of democracy and income),period,"One per period, summed",4,-1.0683277303047394,0.3864253005960688,0.26746283757278544,27,747,114
Polity,Symmetric (lags of democracy and income),period,"One per period, summed",5,-0.9698734903181592,0.38795732719457465,0.25471085211178757,27,747,114
Polity,Symmetric (lags of democracy and income),period,"One per period, summed",6,-0.8468828251466931,0.34082489094365237,0.3230029602307001,27,747,114
Polity,Symmetric (lags of democracy and income),period,"One per period, summed",7,-0.7238354655761654,0.29701422605893313,0.3769313985089058,27,747,114
Polity,Symmetric (lags of democracy and income),period,"One per period, summed",8,-0.7460210460523342,0.29726605354148755,0.3224779532156612,27,747,114
Polity,Symmetric (lags of democracy and income),period,"One per period, summed",Inf,-0.7545884526196911,0.29370003845031983,0.3141484923675604,27,747,114
Polity,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",2,-0.591201227611057,0.19177149907850344,0.5261383835621718,27,747,114
Polity,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",3,-0.6675312695856936,0.21158373547220877,0.5129691895933961,27,747,114
Polity,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",4,-0.7122891563550962,0.23918227364051928,0.4393350143697039,27,747,114
Polity,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",5,-0.7190671250592535,0.2524419681671576,0.39256558667892394,27,747,114
Polity,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",6,-0.7323902634342625,0.2651169233000439,0.38351219990699326,27,747,114
Polity,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",7,-0.7425911133088432,0.26922767950161824,0.38029150598972983,27,747,114
Polity,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",8,-0.741206164748462,0.2705722979482961,0.38294088191477593,27,747,114
Polity,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",Inf,-0.7435419742698492,0.27129004474681423,0.38110459479484415,27,747,114
Polity,Symmetric (lags of democracy and income),full,One instrument in total,2,-0.4125813125636508,0.16106813663768813,0.5817886745678011,11,747,114
Polity,Symmetric (lags of democracy and income),full,One instrument in total,3,-0.7695702087373348,0.33703127795839155,0.39101037874118383,11,747,114
Polity,Symmetric (lags of democracy and income),full,One instrument in total,4,-0.7969245271240268,0.37583152789169927,0.35565843408086906,11,747,114
Polity,Symmetric (lags of democracy and income),full,One instrument in total,5,-0.8129050030461471,0.5002633879224915,0.3059231089743193,11,747,114
Polity,Symmetric (lags of democracy and income),full,One instrument in total,6,-0.8375180024899507,0.4924316027082484,0.2930684922555038,11,747,114
Polity,Symmetric (lags of democracy and income),full,One instrument in total,7,-0.5727262575004488,0.456686462399462,0.47415234491278824,11,747,114
Polity,Symmetric (lags of democracy and income),full,One instrument in total,8,-0.9318861181137734,0.6037790246811344,0.21148281923423085,11,747,114
Polity,Symmetric (lags of democracy and income),full,One instrument in total,Inf,-0.7316233458887353,0.5843542052647656,0.3598199486903084,11,747,114
