panel,size,draw,income,income_se,n_inst,hansen_p,hansen_df
Freedom House,4,136,-0.03552722943294562,0.18049763883685074,14,0.0030203570158910346,3
Freedom House,4,137,-0.21569885037251613,0.12117753969202916,14,0.014735492407631346,3
Freedom House,4,138,0.12818985192032706,0.22313961469756646,14,0.25422709470124094,3
Freedom House,4,139,0.05978859628093236,0.15407929671482778,14,0.3835083801816047,3
Freedom House,4,140,0.02008825626600963,0.1361722273277436,14,0.06687364371977181,3
Freedom House,4,141,0.05803412163312327,0.17366771246099102,14,0.00947950791854634,3
Freedom House,4,142,-0.015952643587561433,0.15411131809035972,14,0.2205481222063868,3
Freedom House,4,143,-0.03841334422435949,0.16549130865066233,14,0.17903161796192607,3
Freedom House,4,144,-0.1199277257026381,0.11808277324213061,14,0.008647886280300858,3
Freedom House,4,145,-0.07560523066626068,0.12474662501607835,14,0.08340033442345135,3
Freedom House,4,146,0.035542263774681615,0.1687347551781966,14,0.50029719337341,3
Freedom House,4,147,0.022107960016045425,0.1766419289470569,14,0.002529132055660368,3
Freedom House,4,148,0.11388139147104415,0.19372874087965938,14,0.15759646943118277,3
Freedom House,4,149,-0.18918702829494816,0.12834832971860397,14,0.003424165900100021,3
Freedom House,4,150,0.03088639029722451,0.16999406742732553,14,0.3616297980356883,3
Freedom House,4,151,-0.3364371725412685,0.13370620651577142,14,1.2717445975298953e-4,3
Freedom House,4,152,-0.09802322802075913,0.12703628969994063,14,0.008018740676936593,3
Freedom House,4,153,-0.2155245469007241,0.19522660711345707,14,0.24927494601253075,3
Freedom House,4,154,-0.20801061027695322,0.1250750920601741,14,0.005747762574587181,3
Freedom House,4,155,-0.05798816403645102,0.1268991421853749,14,0.08229246162552764,3
Freedom House,4,156,-0.005640883241366801,0.14515981754150384,14,0.13702680048513116,3
Freedom House,4,157,-0.2114541894748747,0.14455477141589182,14,0.29922370218696487,3
Freedom House,4,158,-0.2633439790933787,0.12542944811556678,14,0.004041981751477547,3
Freedom House,4,159,0.054547521407075195,0.16793414563055556,14,0.06425659458038475,3
Freedom House,4,160,-0.009677623096290944,0.1420392757585666,14,0.13389557998841217,3
Freedom House,4,161,0.02093777070003444,0.1424347562109963,14,0.05268923160286548,3
Freedom House,4,162,0.07743749211875617,0.24886674280138124,14,0.005080810617545861,3
Freedom House,4,163,-0.10300441554409367,0.12634968969313062,14,0.008656166850373273,3
Freedom House,4,164,-0.07840083881604532,0.10853811914206074,14,0.00941600966386894,3
Freedom House,4,165,-0.34020752409387356,0.13577760497682817,14,0.027681513935852102,3
Freedom House,4,166,-0.10053399983418743,0.135312280967331,14,0.021234764076079476,3
Freedom House,4,167,0.08386437329051688,0.19592719664720687,14,0.012483673257309893,3
Freedom House,4,168,-0.21666752251116606,0.11842167109330065,14,0.0241691414666628,3
Freedom House,4,169,0.04631858216974205,0.1534701346574629,14,0.051797919449962766,3
Freedom House,4,170,-0.06327766681023217,0.13632540981340296,14,0.014889676633436778,3
Freedom House,4,171,0.03640240944686646,0.182960051072802,14,0.42789104284082163,3
Freedom House,4,172,-0.05641026175746067,0.1281135727827823,14,0.11366427313969965,3
Freedom House,4,173,0.016660038889877882,0.13942624881005033,14,0.038727801661872556,3
Freedom House,4,174,-0.2156715485271672,0.12197953347657688,14,0.034832005113530184,3
Freedom House,4,175,-0.2587756225821849,0.14541836597811195,14,0.21790370367859976,3
Freedom House,4,176,-0.28930684066831613,0.148849570354112,14,0.4750287442425502,3
Freedom House,4,177,-0.16790896732343974,0.12881218341834988,14,0.0014682866135786315,3
Freedom House,4,178,-0.05106644538132166,0.15511107919630832,14,0.14195439683055427,3
Freedom House,4,179,0.061778388442873755,0.15556186801040198,14,0.06947825522189069,3
Freedom House,4,180,0.06560963907483508,0.18409160305972114,14,0.26920726942458584,3
Freedom House,4,181,-0.11843174966884451,0.10858618889287973,14,0.1731115538845897,3
Freedom House,4,182,-0.20614374476737218,0.21428830605986252,14,0.017072245985760286,3
Freedom House,4,183,-0.003777778960517786,0.13922042579378072,14,0.2575373844249815,3
Freedom House,4,184,-0.15353512487565446,0.12402930122436638,14,0.005354820271331983,3
Freedom House,4,185,-0.12476126070534832,0.13433760866153735,14,0.016223511895393193,3
Freedom House,4,186,-0.18664081733497806,0.11612052235611534,14,0.0038420355551812215,3
Freedom House,4,187,0.10401201232725121,0.2026812394810528,14,0.028794693257028575,3
Freedom House,4,188,-0.06700743767705486,0.13607122987695144,14,0.23947766725793262,3
Freedom House,4,189,9.879706625426365e-4,0.14873949821798568,14,0.02576881921469759,3
Freedom House,4,190,-0.2561801952198355,0.13572241638231577,14,0.12784145885812714,3
Freedom House,4,191,0.09572436951930907,0.16820776655847652,14,0.0926927706661449,3
Freedom House,4,192,-0.2598044142643081,0.1330587304199098,14,0.3035285620777603,3
Freedom House,4,193,-0.1063727249454276,0.11787789428179762,14,0.021566267610355322,3
Freedom House,4,194,0.04293889171680476,0.15763576528751672,14,0.11251401187804763,3
Freedom House,4,195,0.009247999552641772,0.20399884561088885,14,0.016645971367274498,3
Freedom House,4,196,-0.08657989071235228,0.12577733317953524,14,0.1622603701086346,3
Freedom House,4,197,0.0385025831492376,0.16427789736281836,14,0.1263926149526737,3
Freedom House,4,198,-0.019461678808444738,0.13257245359705724,14,0.008914473896198235,3
Freedom House,4,199,0.06811779529038553,0.17598017217901224,14,0.02834163618153978,3
Freedom House,4,200,-0.03166110594399818,0.1488124153099702,14,0.010232678888079404,3
Freedom House,12,1,-0.2226067125224076,0.12303583586549297,22,0.009789011679061344,11
Freedom House,12,2,-0.18634681078901316,0.12572862997373305,22,0.02652618688692363,11
Freedom House,12,3,-0.27063562832975174,0.12175591333353131,22,0.003596269795105424,11
Freedom House,12,4,-0.1793685652630419,0.12585860722571685,22,0.011236678340420036,11
Freedom House,12,5,-0.07464254314294028,0.13211913766202585,22,0.013162945780400993,11
Freedom House,12,6,-0.15356688844641564,0.10828212750401056,22,0.05365353728238099,11
Freedom House,12,7,-0.2360655364828439,0.12088699318047971,22,0.0027619675102172193,11
Freedom House,12,8,-0.07592121055143064,0.12693693036321976,22,0.2472420946517442,11
Freedom House,12,9,-0.17957913649906398,0.11429775503670575,22,0.041656898884770095,11
Freedom House,12,10,-0.08327262112556699,0.14013755124860813,22,0.008682358013982917,11
Freedom House,12,11,-0.24099474373066965,0.11881077670107391,22,0.015759260062774717,11
Freedom House,12,12,-0.18040846303167513,0.11843410823620677,22,0.039619183531945525,11
Freedom House,12,13,-0.14049613025945362,0.11524174717645358,22,0.017817822758665922,11
Freedom House,12,14,0.010455458568375597,0.13265235179943574,22,0.09235522528448964,11
Freedom House,12,15,-0.2599458463941473,0.11351326920178004,22,0.0028128223038071352,11
Freedom House,12,16,-0.05420950643057498,0.13335080531280194,22,0.09105027061466955,11
Freedom House,12,17,-0.014521725739062852,0.13322237548249935,22,0.013123592188777258,11
Freedom House,12,18,-0.20865106885668983,0.12104251109003104,22,0.037123581888348606,11
Freedom House,12,19,-0.11795962315739938,0.12518206204732882,22,0.006098666464033109,11
